#TAK ADSB IDs US ARMY
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator"

"ae1f90","a-f-A-M-H-U-L","10-72129","UH-72A","US A"
"ae1f93","a-f-A-M-H-U-L","10-72132","UH-72A","US A"
"ae1f9a","a-f-A-M-H-U-L","10-72139","UH-72A","US A"
"ae1fa9","a-f-A-M-H-U-L","10-72154","UH-72A","US A"
"ae1fb7","a-f-A-M-H-U-L","10-72168","UH-72A","US A"
"ae1fc1","a-f-A-M-H-U-L","10-72178","UH-72A","US A"
"ae1fcd","a-f-A-M-H-U-L","11-72190","UH-72A","US A"
"ae1fd4","a-f-A-M-H-U-L","11-72197","UH-72A","US A"
"ae1fdb","a-f-A-M-H-U-L","11-72204","UH-72A","US A"
"ae1fe1","a-f-A-M-H-U-L","11-72210","UH-72A","US A"
"ae1fe8","a-f-A-M-H-U-L","11-72217","UH-72A","US A"
"ae1fe9","a-f-A-M-H-U-L","12-72218","UH-72A","US A"
"ae1fea","a-f-A-M-H-U-L","11-72219","UH-72","US A"
"ae1fee","a-f-A-M-H-U-L","12-72223","UH-72A","US A"
"ae1ff0","a-f-A-M-H-U-L","12-72225","UH-72A","US A"
"ae1ff9","a-f-A-M-H-U-L","12-72234","UH-72A","US A"
"ae2005","a-f-A-M-H-U-L","12-72246","UH-72A","US A"
"ae2019","a-f-A-M-H-U-L","12-72266","UH-72A","US A"
"ae201c","a-f-A-M-H-U-L","12-72269","UH-72A","US A"
"ae2027","a-f-A-M-H-U-L","13-72280","UH-72A","US A"
"ae202a","a-f-A-M-H-U-L","13-72283","UH-72A","US A"
"ae202e","a-f-A-M-H-U-L","13-72287","UH-72A","US A"
"ae2034","a-f-A-M-H-U-L","13-72293","UH-72A","US A"
"ae203e","a-f-A-M-H-U-L","13-72303","UH-72A","US A"
"ae2042","a-f-A-M-F-U-L","14-72307","UH-72A","US A"
"ae2044","a-f-A-M-H-U-L","14-72309","UH-72","US A"
"ae2054","a-f-A-M-H-U-L","14-72325","UH-72A","US A"
"ae2056","a-f-A-M-H-U-L","14-72327","UH-72A","US A"
"ae205c","a-f-A-M-H-U-L","14-72333","UH-72A","US A"
"ae205f","a-f-A-M-H-U-L","14-72336","UH-72A","US A"
"ae2126","a-f-A-M-F-C-M","07-27011","C-27J","US A"
"ae2f62","a-f-A-M-F-R","09-00644","MC-12S","US A"
"ae47a8","a-f-A-M-H-H","08-20160","HH-60M","US A"
"ae47b2","a-f-A-M-H-H","08-20170","HH-60M","US A"
"ae481c","a-f-A-M-H-U-M","07-20079","UH-60M","US A"
"ae4831","a-f-A-M-H-U-M","08-20096","UH-60M","US A"
"ae4837","a-f-A-M-H-U-M","08-20102","UH-60M","US A"
"ae4843","a-f-A-M-H-U-M","08-20114","UH-60M","US A"
"ae484d","a-f-A-M-H-U-M","08-20124","UH-60M","US A"
"ae4861","a-f-A-M-H-U-M","09-20179","UH-60M","US A"
"ae4883","a-f-A-M-H-U-M","09-20212","UH-60M","US A"
"ae4c5e","a-f-A-M-F-R","10-00728","MC-12W","US A"
"ae4c62","a-f-A-M-F-R","10-00742","MC-12S","US A"
"ae50d0","a-f-A-M-H-U-M","10-20272","UH-60M","US A"
"ae50d3","a-f-A-M-H-U-M","10-20275","UH-60M","US A"
"ae50d4","a-f-A-M-H-U-M","10-20276","UH-60M","US A"
"ae50e2","a-f-A-M-H-U-M","10-20311","UH-60M","US A"
"ae50e5","a-f-A-M-H-U-M","10-20314","UH-60M","US A"
"ae50e7","a-f-A-M-H-U-M","10-20316","UH-60M","US A"
"ae515e","a-f-A-M-F-R-Z","88-00325","RC-12X","US A"
"ae51bf","a-f-A-M-H-U-M","11-20391","UH-60M","US A"
"ae5261","a-f-A-M-H-C-H","08-08052","CH-47F","US A"
"ae5296","a-f-A-M-H-C-H","09-08787","CH-47F","US A"
"ae52d7","a-f-A-M-H-C-H","11-08096","CH-47F","US A"
"ae52e3","a-f-A-M-H-C-H","11-08839","CH-47F","US A"
"ae52e6","a-f-A-M-H-C-H","11-08842","CH-47F","US A"
"ae5319","a-f-A-M-H-C-H","12-08880","CH-47F","US A"
