#TAK ADSB IDs USAF CARGO
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator"

"ae07ec","a-f-A-M-F-C-H","96-0002","C-17A","USAF"
"ae07ee","a-f-A-M-F-C-H","96-0004","C-17A","USAF"
"ae07ef","a-f-A-M-F-C-H","96-0005","C-17A","USAF"
"ae07f0","a-f-A-M-F-C-H","96-0006","C-17A","USAF"
"ae07f1","a-f-A-M-F-C-H","96-0007","C-17","USAF"
"ae07f3","a-f-A-M-F-C-H","97-0041","C-17","USAF"
"ae07f4","a-f-A-M-F-C-H","97-0042","C-17","USAF"
"ae07f7","a-f-A-M-F-C-H","97-0045","C-17","USAF"
"ae07fa","a-f-A-M-F-C-H","97-0048","C-17","USAF"
"ae07ff","a-f-A-M-F-C-H","98-0053","C-17","USAF"
"ae0800","a-f-A-M-F-C-H","98-0054","C-17A","USAF"
"ae0801","a-f-A-M-F-C-H","98-0055","C-17A","USAF"
"ae0803","a-f-A-M-F-C-H","98-0057","C-17","USAF"
"ae0804","a-f-A-M-F-C-H","99-0058","C-17","USAF"
"ae0805","a-f-A-M-F-C-H","99-0059","C-17","USAF"
"ae0806","a-f-A-M-F-C-H","99-0060","C-17","USAF"
"ae080b","a-f-A-M-F-C-H","99-0165","C-17A","USAF"
"ae080c","a-f-A-M-F-C-H","99-0166","C-17A ","USAF"
"ae080d","a-f-A-M-F-C-H","99-0167","C-17A","USAF"
"ae080f","a-f-A-M-F-C-H","99-0169","C-17","USAF"
"ae0811","a-f-A-M-F-C-H","00-0175","C-17","USAF"
"ae0812","a-f-A-M-F-C-H","00-0176","C-17","USAF"
"ae0813","a-f-A-M-F-C-H","00-0177","C-17","USAF"
"ae0814","a-f-A-M-F-C-H","00-0178","C-17A","USAF"
"ae0816","a-f-A-M-F-C-H","00-0180","C-17","USAF"
"ae0817","a-f-A-M-F-C-H","00-0181","C-17","USAF"
"ae0818","a-f-A-M-F-C-H","00-0182","C-17","USAF"
"ae08be","a-f-A-M-F-C-H","00-0184","C-17","USAF"
"ae08cf","a-f-A-M-F-C-H","00-0185","C-17","USAF"
"ae08da","a-f-A-M-F-C-M","166380","C-130J","USAF"
"ae08e1","a-f-A-M-F-C-M","01-1461","C-130J-30","USAF"
"ae08e3","a-f-A-M-F-C-H","00-0183","C-17","USAF"
"ae10b5","a-f-A-M-F-C-H","01-0186","C-17","USAF"
"ae10b6","a-f-A-M-F-C-H","01-0187","C-17","USAF"
"ae10b7","a-f-A-M-F-C-H","01-0188","C-17A","USAF"
"ae10b8","a-f-A-M-F-C-H","01-0189","C-17A","USAF"
"ae10ba","a-f-A-M-F-C-H","01-0191","C-17","USAF"
"ae10bc","a-f-A-M-F-C-H","01-0193","C-17","USAF"
"ae10be","a-f-A-M-F-C-H","01-0195","C-17A","USAF"
"ae10bf","a-f-A-M-F-C-H","01-0196","C-17","USAF"
"ae1163","a-f-A-M-F-C-M","02-8155","C-130J","USAF"
"ae1164","a-f-A-M-F-C-M","02-0314","C-130J-30","USAF"
"ae1170","a-f-A-M-F-C-H","02-1098","C-17","USAF"
"ae1171","a-f-A-M-F-C-H","02-1099","C-17A","USAF"
"ae1172","a-f-A-M-F-C-H","02-1100","C-17","USAF"
"ae1173","a-f-A-M-F-C-H","02-1101","C-17","USAF"
"ae1176","a-f-A-M-F-C-H","02-1104","C-17A","USAF"
"ae1177","a-f-A-M-F-C-H","02-1105","C-17","USAF"
"ae1179","a-f-A-M-F-C-H","02-1107","C-17A","USAF"
"ae117a","a-f-A-M-F-C-H","02-1108","C-17","USAF"
"ae117b","a-f-A-M-F-C-H","02-1109","C-17A","USAF"
"ae117d","a-f-A-M-F-C-H","02-1111","C-17","USAF"
"ae117e","a-f-A-M-F-C-H","02-1112","C-17","USAF"
"ae1196","a-f-A-M-F-C-H","03-3113","C-17","USAF"
"ae1199","a-f-A-M-F-C-H","03-3116","C-17","USAF"
"ae119b","a-f-A-M-F-C-H","03-3118","C-17","USAF"
"ae119c","a-f-A-M-F-C-H","03-3119","C-17","USAF"
"ae119d","a-f-A-M-F-C-H","03-3120","C-17","USAF"
"ae1233","a-f-A-M-F-C-H","03-3122","C-17","USAF"
"ae1235","a-f-A-M-F-C-H","03-3124","C-17","USAF"
"ae1236","a-f-A-M-F-C-H","03-3125","C-17A","USAF"
"ae1237","a-f-A-M-F-C-H","03-3126","C-17","USAF"
"ae1238","a-f-A-M-F-C-H","03-3127","C-17A","USAF"
"ae1239","a-f-A-M-F-C-H","04-4129","C-17A","USAF"
"ae123a","a-f-A-M-F-C-H","04-4128","C-17A","USAF"
"ae123c","a-f-A-M-F-C-H","04-4131","C-17A","USAF"
"ae123d","a-f-A-M-F-C-H","04-4132","C-17","USAF"
"ae123f","a-f-A-M-F-C-H","04-4134","C-17","USAF"
"ae1240","a-f-A-M-F-C-H","04-4135","C-17A","USAF"
"ae1241","a-f-A-M-F-C-H","04-4136","C-17A","USAF"
"ae138a","a-f-A-M-F-C-M","04-3142","C-130J","USAF"
"ae143d","a-f-A-M-F-C-M","05-1435","C-130J-30","USAF"
"ae1440","a-f-A-M-F-C-M","05-1466","C-130J-30","USAF"
"ae1445","a-f-A-M-F-C-M","05-3145","C-130J-30","USAF"
"ae1448","a-f-A-M-F-C-H","04-4138","C-17A","USAF"
"ae1449","a-f-A-M-F-C-H","05-5139","C-17A","USAF"
"ae144a","a-f-A-M-F-C-H","05-5140","C-17A","USAF"
"ae144c","a-f-A-M-F-C-H","05-5142","C-17","USAF"
"ae144d","a-f-A-M-F-C-H","05-5143","C-17","USAF"
"ae144e","a-f-A-M-F-C-H","05-5144","C-17","USAF"
"ae144f","a-f-A-M-F-C-H","05-5145","C-17","USAF"
"ae1451","a-f-A-M-F-C-H","05-5147","C-17A","USAF"
"ae1453","a-f-A-M-F-C-H","05-5149","C-17","USAF"
"ae1454","a-f-A-M-F-C-H","05-5150","C-17A","USAF"
"ae1455","a-f-A-M-F-C-H","05-5151","C-17","USAF"
"ae1457","a-f-A-M-F-C-H","05-5153","C-17","USAF"
"ae1458","a-f-A-M-F-C-H","06-6154","C-17","USAF"
"ae1459","a-f-A-M-F-C-H","06-6155","C-17","USAF"
"ae145a","a-f-A-M-F-C-H","06-6156","C-17A","USAF"
"ae145b","a-f-A-M-F-C-H","06-6157","C-17","USAF"
"ae145c","a-f-A-M-F-C-H","06-6158","C-17","USAF"
"ae145d","a-f-A-M-F-C-H","06-6159","C-17A","USAF"
"ae145e","a-f-A-M-F-C-H","06-6160","C-17","USAF"
"ae145f","a-f-A-M-F-C-H","06-6161","C-17","USAF"
"ae1461","a-f-A-M-F-C-H","06-6163","C-17","USAF"
"ae1462","a-f-A-M-F-C-H","06-6164","C-17","USAF"
"ae1463","a-f-A-M-F-C-H","06-6165","C-17","USAF"
"ae1465","a-f-A-M-F-C-H","06-6167","C-17A","USAF"
"ae1466","a-f-A-M-F-C-H","06-6168","C-17","USAF"
"ae1467","a-f-A-M-F-C-H","07-7169","C-17","USAF"
"ae1468","a-f-A-M-F-C-H","07-7170","C-17","USAF"
"ae1469","a-f-A-M-F-C-H","07-7171","C-17","USAF"
"ae146a","a-f-A-M-F-C-H","07-7172","C-17","USAF"
"ae146b","a-f-A-M-F-C-H","07-7173","C-17","USAF"
"ae146c","a-f-A-M-F-C-H","07-7174","C-17","USAF"
"ae146d","a-f-A-M-F-C-H","07-7175","C-17","USAF"
