#TAK ADSB IDs US NAVY
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator","icontype"

"ae1147","a-f-A-M-F-T","165981","T-6","USN #trainer",""
"ae1148","a-f-A-M-F-T","165982","T-6","USN #trainer",""
"ae114b","a-f-A-M-F-T","165985","T-6","USN #trainer",""
"ae114c","a-f-A-M-F-T","165986","T-6A","USN #trainer",""
"ae114d","a-f-A-M-F-T","165987","T-6","USN #trainer",""
"ae114e","a-f-A-M-F-T","165988","T-6A","USN #trainer",""
"ae114f","a-f-A-M-F-T","165989","T-6","USN #trainer",""
"ae1150","a-f-A-M-F-T","165990","T-6A","USN #trainer",""
"ae1151","a-f-A-M-F-T","165991","T-6A","USN #trainer",""
"ae1152","a-f-A-M-F-T","165992","T-6A","USN #trainer",""
"ae1153","a-f-A-M-F-T","165993","T-6A","USN #trainer",""
"ae1154","a-f-A-M-F-T","165994","T-6A","USN #trainer",""
"ae1155","a-f-A-M-F-T","165995","T-6A","USN #trainer",""
"ae1156","a-f-A-M-F-T","165996","T-6A","USN #trainer",""
"ae1158","a-f-A-M-F-T","165998","T-6A","USN #trainer",""
"ae1159","a-f-A-M-F-T","165999","T-6A","USN #trainer",""
"ae115a","a-f-A-M-F-T","166000","T-6A","USN #trainer",""
"ae1180","a-f-A-M-F-U-M","150521","NP-3D","US NRL",""
"ae1251","a-f-A-M-F-U-M","165835","C-40A","USN",""
"ae1252","a-f-A-M-F-U-M","165836","C-40A","USN",""
"ae1255","a-f-A-M-F-K","166511","KC-130J","USN",""
"ae1258","a-f-A-M-F-U-M","166376","C-37B","USN",""
"ae138e","a-f-A-M-F-T","674943","T-38","USN #trainer",""
"ae1390","a-f-A-M-F-T","610925","T-38","USN #trainer",""
"ae1396","a-f-A-M-F-T","701579","T-38A","USN #trainer",""
"ae147a","a-f-A-M-F-U-M","166693","C-40A","USN",""
"ae149c","a-f-A-M-F-T","160840","T-44C","USN #trainer",""
"ae149d","a-f-A-M-F-T","160841","T-44A","USN #trainer",""
"ae149f","a-f-A-M-F-T","160843","T-44A","USN #trainer",""
"ae14a2","a-f-A-M-F-T","160846","T-44A","USN #trainer",""
"ae14a4","a-f-A-M-F-T","160848","T-44A","USN #trainer",""
"ae14a5","a-f-A-M-F-T","160849","T-44A","USN #trainer",""
"ae14a6","a-f-A-M-F-T","160850","T-44C","USN #trainer",""
"ae14aa","a-f-A-M-F-T","160854","T-44A","USN #trainer",""
"ae14ab","a-f-A-M-F-T","160855","T-44A","USN #trainer",""
"ae14ae","a-f-A-M-F-T","160969","T-44A","USN #trainer",""
"ae14b0","a-f-A-M-F-T","160971","T-44A","USN #trainer",""
"ae14b1","a-f-A-M-F-T","160972","T-44A","USN #trainer",""
"ae14b4","a-f-A-M-F-T","160977","T-44A","USN #trainer",""
"ae14b6","a-f-A-M-F-T","160981","T-44C","USN #trainer",""
"ae14b7","a-f-A-M-F-T","160982","T-44A","USN #trainer",""
"ae14b8","a-f-A-M-F-T","160983","T-44A","USN #trainer",""
"ae14b9","a-f-A-M-F-T","160984","T-44A","USN #trainer",""
"ae14bb","a-f-A-M-F-T","160986","T-44A","USN #trainer",""
"ae14bc","a-f-A-M-F-T","161057","T-44C","USN #trainer",""
"ae14bd","a-f-A-M-F-T","161058","T-44A","USN #trainer",""
"ae14c1","a-f-A-M-F-T","161063","T-44C","USN #trainer",""
"ae14c2","a-f-A-M-F-T","161064","T-44A","USN #trainer",""
"ae14c3","a-f-A-M-F-T","161065","T-44A","USN #trainer",""
"ae14c4","a-f-A-M-F-T","161066","T-44C","USN #trainer",""
"ae14c5","a-f-A-M-F-T","161068","T-44C","USN #trainer",""
"ae14c7","a-f-A-M-F-T","161070","T-44A","USN #trainer",""
"ae14c8","a-f-A-M-F-T","161071","T-44A","USN #trainer",""
"ae14c9","a-f-A-M-F-T","161072","T-44A","USN #trainer",""
"ae14ca","a-f-A-M-F-T","161073","T-44C","USN #trainer",""
"ae14cb","a-f-A-M-F-T","161074","T-44A","USN #trainer",""
"ae14cd","a-f-A-M-F-T","161076","T-44A","USN #trainer",""
"ae14ce","a-f-A-M-F-T","161077","T-44A","USN #trainer",""
"ae14cf","a-f-A-M-F-T","161078","T-44A","USN #trainer",""
"ae151a","a-f-A-M-F-U-L","166377","C-37B","USN",""
"ae152c","a-f-A-M-F-U-L","166378","C-37B","USN",""
"ae171d","a-f-A-M-F-T","166010","T-6","USN #trainer",""
"ae1837","a-f-A-M-H-S","166520","MH-60R","USN",""
"ae1839","a-f-A-M-H-S","166522","MH-60R","USN",""
"ae183b","a-f-A-M-H-S","166524","MH-60R","USN",""
"ae183b","a-f-A-M-H-S","166524","MH-60R","USN",""
"ae183c","a-f-A-M-H-S","166525","MH-60R","USN",""
