#TAK ADSB IDs FINLAND Military
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","SIDC","registration","type","operator"

"46781A","a-f-A-M-F-F","HN-422","F-18C","Finnish Air Force"
"46781B","a-f-A-M-F-F","HN-423","F-18C","Finnish Air Force"
"46781C","a-f-A-M-F-F","HN-424","F-18C","Finnish Air Force"
"46781D","a-f-A-M-F-F","HN-425","F-18C","Finnish Air Force"
"46781E","a-f-A-M-F-F","HN-426","F-18C","Finnish Air Force"
"46781F","a-f-A-M-F-F","HN-427","F-18C","Finnish Air Force"
"467820","a-f-A-M-F-F","HN-428","F-18C","Finnish Air Force"
"467821","a-f-A-M-F-F","HN-429","F-18C","Finnish Air Force"
"467822","a-f-A-M-F-F","HN-431","F-18C","Finnish Air Force"
"467823","a-f-A-M-F-F","HN-432","F-18C","Finnish Air Force"
"467824","a-f-A-M-F-F","HN-433","F-18C","Finnish Air Force"
"467825","a-f-A-M-F-F","HN-434","F-18C","Finnish Air Force"
"467826","a-f-A-M-F-F","HN-435","F-18C","Finnish Air Force"
"467827","a-f-A-M-F-F","HN-436","F-18C","Finnish Air Force"
"467828","a-f-A-M-F-F","HN-437","F-18C","Finnish Air Force"
"467829","a-f-A-M-F-F","HN-438","F-18C","Finnish Air Force"
"46782A","a-f-A-M-F-F","HN-439","F-18C","Finnish Air Force"
"46782B","a-f-A-M-F-F","HN-440","F-18C","Finnish Air Force"
"46782C","a-f-A-M-F-F","HN-441","F-18C","Finnish Air Force"
"46782D","a-f-A-M-F-F","HN-442","F-18C","Finnish Air Force"
"46782E","a-f-A-M-F-F","HN-443","F-18C","Finnish Air Force"
"46782F","a-f-A-M-F-F","HN-444","F-18C","Finnish Air Force"
"467830","a-f-A-M-F-F","HN-445","F-18C","Finnish Air Force"
"467831","a-f-A-M-F-F","HN-446","F-18C","Finnish Air Force"
"467832","a-f-A-M-F-F","HN-447","F-18C","Finnish Air Force"
"467833","a-f-A-M-F-F","HN-448","F-18C","Finnish Air Force"
"467834","a-f-A-M-F-F","HN-449","F-18C","Finnish Air Force"
"467835","a-f-A-M-F-F","HN-450","F-18C","Finnish Air Force"
"467836","a-f-A-M-F-F","HN-451","F-18C","Finnish Air Force"
"467837","a-f-A-M-F-F","HN-452","F-18C","Finnish Air Force"
"467838","a-f-A-M-F-F","HN-453","F-18C","Finnish Air Force"
"467839","a-f-A-M-F-F","HN-454","F-18C","Finnish Air Force"
"46783A","a-f-A-M-F-F","HN-455","F-18C","Finnish Air Force"
