#TAK ADSB IDs RUSSIA Military
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator"

"14b673","a-a-A-M-F-C-M","RA-46707","An-26","Russian Air Force"
"14b8ee","a-a-A-M-F-C-M","RA-47342","An-26","Russian Air Force"
"14b92e","a-a-A-M-F-C-M","RF-93993","An-26","Russian Air Force"
"14b92f","a-a-A-M-F-C-M","RA-47407","An-26","Russian Air Force"
"14b933","a-a-A-M-F-C-M","RA-47411","An-26","Russian Air Force"
"14f116","a-a-A-M-F-C-M","RA-61718","An-148 100","Russian Air Force"
"14f119","a-a-A-M-F-C-M","RA-61721","An-148 100E","Russian Air Force"
"14f11a","a-a-A-M-F-C-M","RA-61722","An-148 100E","Russian Air Force"
"14f11b","a-a-A-M-F-C-M","RA-61723","An-148 100E","Russian Air Force"
"14f11c","a-a-A-M-F-C-M","RA-61724","An-148 100E","Russian Air Force"
"14f11d","a-a-A-M-F-C-M","RA-61725","An-148 100E","Russian Air Force"
"14f11e","a-a-A-M-F-C-M","RA-61726","An-148 100E","Russian Air Force"
"14f120","a-a-A-M-F-C-M","RA-61728","An-148 100E","Russian Air Force"
"14f121","a-a-A-M-F-C-M","RA-61729","An-148 100E","Russian Air Force"
"14f122","a-a-A-M-F-C-M","RA-61730","An-148 100E","Russian Air Force"
"14f90d","a-a-A-M-F-C-M","RF-66001","Tu-134AK","Russian Navy"
"14f91f","a-a-A-M-F-C-M","RF-90789","Tu-134AK","Russian Air Force"
"14f958","a-a-A-M-F-C-M","RF-66008","Tu-134AK","Russian Air Force"
"14f9e7","a-a-A-M-F-C-M","RF-66009","Tu-134AK","Russian Air Force"
"14fbc6","a-a-A-M-F-C-M","RA-64454","Tu-134IK","Russian Air Force"
"14fc02","a-a-A-M-F-R-Z","RF-64514","Tu-214R","Russian Air Force"
"14fc07","a-a-A-M-F-R-X","RF-64519","Tu-214ON","Russian Air Force"
"14fc0d","a-a-A-M-F-R-X","RF-64525","Tu-214ON","Russian Air Force"
"14fc11","a-a-A-M-F-C-M","RA-64529","Tu-214","Russian Air Force"
"14fc12","a-a-A-M-F-C-M","RA-64530","Tu-214","Russian Air Force"
"150025","a-a-A-M-F-C-M","RA-65573","Tu-134A","Russian Air Force"
"15008f","a-a-A-M-F-C-M","RA-65679","Tu-134A","Russian Air Force"
"150090","a-a-A-M-F-C-M","RA-65680","Tu-134A3","Russian Air Force"
"150091","a-a-A-M-F-C-M","RA-65681","Tu-134A3","Russian Air Force"
"150094","a-a-A-M-F-C-M","RF-66052","Tu-134AK","Russian Air Force"
"150095","a-a-A-M-F-C-M","RF-90915","Tu-134A3","Russian Air Force"
"150098","a-a-A-M-F-C-M","RF-94247","Tu-134AK","Russian Air Force"
"150099","a-a-A-M-F-C-M","RA-65689","Tu-134A","Russian Air Force"
"15009a","a-a-A-M-F-C-M","RA-65690","Tu-134A","Russian Air Force"
"1500c1","a-a-A-M-F-C-M","RA-65729","Tu-134AK","Russian Air Force"
"1501ad","a-a-A-M-F-C-M","RA-65965","Tu-134A","Russian Air Force"
"1501b8","a-a-A-M-F-C-M","RA-65976","Tu-134AK","Russian Air Force"
"1501bc","a-a-A-M-F-C-M","RF-94296","Tu-134A","Russian Navy"
"1501be","a-a-A-M-F-C-M","RA-65982","Tu-134A-3","Russian Air Force"
"1501c0","a-a-A-M-F-C-M","RA-65984","Tu-134A-3","Russian Air Force"
"1501c2","a-a-A-M-F-C-M","RA-65986","Tu-134A","Russian Air Force"
"1501c5","a-a-A-M-F-C-M","RA-65989","Tu-134A","Russian Air Force"
"1501c6","a-a-A-M-F-C-M","RF-65990","Tu-134A-3","Russian Air Force"
"1501c7","a-a-A-M-F-C-M","RF-95951","Tu-134A-3","Russian Air Force"
"1501c8","a-a-A-M-F-C-M","RF-65992","Tu-134AK","Russian Air Force"
"1501cc","a-a-A-M-F-C-M","RA-65996","Tu-134AK-3","Russian Air Force"
"1501cd","a-a-A-M-F-C-M","RA-65997","Tu-134","Russian Air Force"
"151cd2","a-a-A-M-F-C-M","RF-72029","An-72","Russian Navy"
"151cd3","a-a-A-M-F-C-M","RA-72915","An-72","Russian Navy"
"151cd4","a-a-A-M-F-C-M","RA-72916","An-72","Russian Air Force"
"151cd7","a-a-A-M-F-C-M","RF-72919","An-72","Russian Air Force"
"151cd8","a-a-A-M-F-C-M","RF-72920","An-72","Russian Air Force"
"151cdd","a-a-A-M-F-C-M","RA-72925","An-72","Russian Air Force"
"151ce2","a-a-A-M-F-C-M","RA-72930","An-72","Russian Air Force"
"151cea","a-a-A-M-F-C-M","RF-95690","An-72","Russian Air Force"
"151ced","a-a-A-M-F-C-M","RA-72941","An-72","Russian Air Force"
"151cef","a-a-A-M-F-C-M","RF-72502","An-72","Russian Air Force"
"151cf1","a-a-A-M-F-C-M","RF-90372","An-72","Russian Air Force"
"151cf2","a-a-A-M-F-C-M","RA-72946","An-72","Russian Air Force"
"151cf3","a-a-A-M-F-C-M","RA-72947","An-72","Russian Air Force"
"151cf6","a-a-A-M-F-C-M","RA-72950","An-72","Russian Navy"
"151cf9","a-a-A-M-F-C-M","RF-90453","An-72","Russian Air Force"
"151cfa","a-a-A-M-F-C-M","RA-72954","An-72","Russian Air Force"
"151cfb","a-a-A-M-F-C-M","RF-72031","An-72","Russian Navy"
"151d02","a-a-A-M-F-C-M","RA-72962","An-72","Russian Air Force"
"151d03","a-a-A-M-F-C-M","RA-72963","An-72","Russian Air Force"
"151d04","a-a-A-M-F-C-M","RF-72964","An-72","Russian Air Force"
"151d05","a-a-A-M-F-C-M","RA-72965","An-72","Russian Air Force"
"151d07","a-a-A-M-F-C-M","RA-72967","An-72","Russian Air Force"
"151d08","a-a-A-M-F-C-M","RF-90452","An-72","Russian Air Force"
"151d09","a-a-A-M-F-C-M","RF-90371","An-72","Russian Air Force"
"151d0b","a-a-A-M-F-C-M","RF-90317","An-72","Russian Air Force"
"151d0c","a-a-A-M-F-C-M","RF-46546","An-72","Russian Navy"
"151d0d","a-a-A-M-F-C-M","RF-72033","An-72","Russian Navy"
"1526be","a-a-A-M-F-Y","RF-75939","IL-18D","Russian Air Force"
"1526c8","a-a-A-M-F-Y","RF-75937","IL-18D","Russian Air Force"
"1526d6","a-a-A-M-F-Y","RF-75478","IL-18","Russian Air Force"
"1526d8","SIDC","RA-75480","IL-20RT","Russian Navy"
"1526d9","SIDC","RF-75344","IL-20RT","Russian Navy"
"1526db","SIDC","RA-75483","IL-20RT","Russian Navy"
"1526e8","a-a-A-M-F-Y","RF-75496","IL-18D","Russian Air Force"
"1526ea","a-a-A-M-F-Y","RF-75336","IL-18D","Russian Navy"
"1526eb","a-a-A-M-F-Y","RF-75499","IL-18D","Russian Air Force"
"1526fc","a-a-A-M-F-V","RA-75516","IL-18V","Russian Air Force"
"152708","a-a-A-M-F-V","RA-75528","IL-18V","Russian Navy"
"15279c","a-a-A-M-F-V","RF-75676","IL-18E","Russian Air Force"
"15287b","a-a-A-M-F-D","RA-75899","IL-22","Russian Air Force"
"15287c","a-a-A-M-F-D","RF-75317","IL-22","Russian Air Force"
