#TAK ADSB IDs NETHERLANDS Military
#Copyright 2021 Stefan Gofferje
#With contributions from Robert W.
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator"


"4804b2","a-f-A-M-F-F","J-876","F-16","NLD AF"
"4804b3","a-f-A-M-F-F","J-877","F-16","NLD AF"
"4804b5","a-f-A-M-F-F","J-879","F-16","NLD AF"
"4804b6","a-f-A-M-F-F","J-881","F-16","NLD AF"
"4804b7","a-f-A-M-F-F","J-882","F-16","NLD AF"
"4804b8","a-f-A-M-F-F","J-884","F-16","NLD AF"
"480501","a-f-A-M-F-F","F-002","F-35","NLD AF"
"480508","a-f-A-M-F-F","F-009","F-35","NLD AF"
"480509","a-f-A-M-F-F","F-010","F-35","NLD AF"
"48050a","a-f-A-M-F-F","F-011","F-35","NLD AF"
"48050b","a-f-A-M-F-F","F-012","F-35","NLD AF"
"48050c","a-f-A-M-F-F","F-013","F-35","NLD AF"
"48050d","a-f-A-M-F-F","F-014","F-35","NLD AF"
"48050e","a-f-A-M-F-F","F-015","F-35","NLD AF"
"48050f","a-f-A-M-F-F","F-016","F-35","NLD AF"
"480512","a-f-A-M-F-F","F-019","F-35","NLD AF"
"480514","a-f-A-M-F-F","F-021","F-35","NLD AF"
"480802","a-f-A-M-H-U-M","S-419","AS-532U2","NLD AF"
"480805","a-f-A-M-H-U-M","S-440","AS-532U2","NLD AF"
"480806","a-f-A-M-H-U-M","S-441","AS-532U2","NLD AF"
"480807","a-f-A-M-H-U-M","S-442","AS-532U2","NLD AF"
"480808","a-f-A-M-H-U-M","S-444","AS-532U2","NLD AF"
"480809","a-f-A-M-H-U-M","S-445","AS-532U2","NLD AF"
"48080a","a-f-A-M-H-U-M","S-447","AS-532U2","NLD AF"
"48080c","a-f-A-M-H-U-M","S-453","AS-532UC","NLD AF"
"48080d","a-f-A-M-H-U-M","S-454","AS-532U2","NLD AF"
"48080e","a-f-A-M-H-U-M","S-456","AS-532U2","NLD AF"
"480810","a-f-A-M-H-U-M","S-458","AS-532UC","NLD AF"
"480811","a-f-A-M-H-U-M","S-459","AS-332UC","NLD AF"
"480849","a-f-A-M-H-C-H","D-472","CH-47F","NLD AF"
"48084a","a-f-A-M-H-C-H","D-473","CH-47F","NLD AF"
"48084b","a-f-A-M-H-C-H","D-474","CH-47F","NLD AF"
"48084c","a-f-A-M-H-C-H","D-475","CH-47F","NLD AF"
"48084d","a-f-A-M-H-C-H","D-476","CH-47F","NLD AF"
"48084e","a-f-A-M-H-C-H","D-477","CH-47F","NLD AF"
"48084f","a-f-A-M-H-C-H","D-478","CH-47F","NLD AF"
"480850","a-f-A-M-H-A","Q-01","AH-64D","NLD AF"
"480860","a-f-A-M-H-A","Q-17","AH-64D","NLD AF"
"480865","a-f-A-M-H-A","Q-22","AH-64D","NLD AF"
"480866","a-f-A-M-H-A","Q-23","AH-64D","NLD AF"
"480867","a-f-A-M-H-A","Q-24","AH-64D","NLD AF"
"48086c","a-f-A-M-H-A","Q-29","AH-64D","NLD AF"
"48086d","a-f-A-M-H-A","Q-30","AH-64D","NLD AF"
"480880","a-f-A-M-H-A","Q-31","AH-64E","NLD AF"
"480881","a-f-A-M-H-A","Q-32","AH-64E","NLD AF"
"480882","a-f-A-M-H-A","Q-33","AH-64E","NLD AF"
"480883","a-f-A-M-H-A","Q-34","AH-64E","NLD AF"
"480884","a-f-A-M-H-A","Q-35","AH-64E","NLD AF"
"480885","a-f-A-M-H-A","Q-36","AH-64E","NLD AF"
"480886","a-f-A-M-H-A","Q-37","AH-64E","NLD AF"
"480887","a-f-A-M-H-A","Q-38","AH-64E","NLD AF"
"480888","a-f-A-M-H-A","Q-39","AH-64E","NLD AF"
"480889","a-f-A-M-H-A","Q-40","AH-64E","NLD AF"
"48088a","a-f-A-M-H-A","Q-41","AH-64E","NLD AF"
