#TAK ADSB IDs AUSTRALIA Military
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator","icontype"

"7cf9d8","a-f-A-M-F-T","A54-001","PC-21","AUS AF #trainer",""
"7cf9d9","a-f-A-M-F-T","A54-002","PC-21","AUS AF #trainer",""
"7cf9da","a-f-A-M-F-T","A54-003","PC-21","AUS AF #trainer",""
"7cf9db","a-f-A-M-F-T","A54-004","PC-21","AUS AF #trainer",""
"7cf9dc","a-f-A-M-F-T","A54-005","PC-21","AUS AF #trainer",""
"7cf9dd","a-f-A-M-F-T","A54-006","PC-21","AUS AF #trainer",""
"7cf9de","a-f-A-M-F-T","A54-007","PC-21","AUS AF #trainer",""
"7cf9df","a-f-A-M-F-T","A54-008","PC-21","AUS AF #trainer",""
"7cf9e0","a-f-A-M-F-T","A54-009","PC-21","AUS AF #trainer",""
"7cf9e1","a-f-A-M-F-T","A54-010","PC-21","AUS AF #trainer",""
"7cf9e2","a-f-A-M-F-T","A54-011","PC-21","AUS AF #trainer",""
"7cf9e3","a-f-A-M-F-T","A54-012","PC-21","AUS AF #trainer",""
"7cf9e4","a-f-A-M-F-T","A54-013","PC-12","AUS AF #trainer",""
"7cf9e5","a-f-A-M-F-T","A54-014","PC-21","AUS AF #trainer",""
"7cf9e6","a-f-A-M-F-T","A54-015","PC-21","AUS AF #trainer",""
"7cf9e7","a-f-A-M-F-T","A54-016","PC-21","AUS AF #trainer",""
"7cf9e8","a-f-A-M-F-T","A54-017","PC-21","AUS AF #trainer",""
"7cf9e9","a-f-A-M-F-T","A54-018","PC-21","AUS AF #trainer",""
"7cf9ea","a-f-A-M-F-T","A54-019","PC-21","AUS AF #trainer",""
"7cf9eb","a-f-A-M-F-T","A54-020","PC-21","AUS AF #trainer",""
"7cf9ec","a-f-A-M-F-T","A54-021","PC-21","AUS AF #trainer",""
"7cf9ed","a-f-A-M-F-T","A54-022","PC-21","AUS AF #trainer",""
"7cf9ee","a-f-A-M-F-T","A54-023","PC-21","AUS AF #trainer",""
"7cf9ef","a-f-A-M-F-T","A54-024","PC-21","AUS AF #trainer",""
"7cf9f0","a-f-A-M-F-T","A54-025","PC-21","AUS AF #trainer",""
"7cf9f2","a-f-A-M-F-T","A54-027","PC-21","AUS AF #trainer",""
"7cf9f3","a-f-A-M-F-T","A54-028","PC-21","AUS AF #trainer",""
"7cf9f4","a-f-A-M-F-T","A54-029","PC-21","AUS AF #trainer",""
"7cf9f6","a-f-A-M-F-T","A54-031","PC-21","AUS AF #trainer",""
"7cf9f7","a-f-A-M-F-T","A54-032","PC-21","AUS AF #trainer",""
"7cf9f8","a-f-A-M-F-T","A54-033","PC-21","AUS AF #trainer",""
"7cf9f9","a-f-A-M-F-T","A54-034","PC-21","AUS AF #trainer",""
"7cf9fa","a-f-A-M-F-T","A54-035","PC-21","AUS AF #trainer",""
"7cf9fb","a-f-A-M-F-T","A54-036","PC-21","AUS AF #trainer",""
"7cf9fc","a-f-A-M-F-T","A54-037","PC-21","AUS AF #trainer",""
"7cf9fd","a-f-A-M-F-T","A54-038","PC-21","AUS AF #trainer",""
"7cf9fe","a-f-A-M-F-T","A54-039","PC-21","AUS AF #trainer",""
"7cfa00","a-f-A-M-F-T","A54-041","PC-21","AUS AF #trainer",""
"7cfa01","a-f-A-M-F-T","A54-042","PC-21","AUS AF #trainer",""
"7cfa02","a-f-A-M-F-T","A54-043","PC-21","AUS AF #trainer",""
"7cfa03","a-f-A-M-F-T","A54-044","PC-21","AUS AF #trainer",""
"7cfa04","a-f-A-M-F-T","A54-045","PC-21","AUS AF #trainer",""
"7cfa05","a-f-A-M-F-T","A54-046","PC-21","AUS AF #trainer",""
"7cfa06","a-f-A-M-F-T","A54-047","PC-21","AUS AF #trainer",""
"7cfa07","a-f-A-M-F-T","A54-048","PC-21","AUS AF #trainer",""
"7cfa08","a-f-A-M-F-T","A54-049","PC-21","AUS AF #trainer",""
"7cfa09","a-f-A-M-H-T","N52-001","EC135T2+","AUS Joint Helicopter School #trainer",""
"7cfa0a","a-f-A-M-H-U-L","N52-002","EC135 T2+","AUS Joint Helicopter School #trainer",""
"7cfa0b","a-f-A-M-H-T","N52-003","EC135T2+","AUS Joint Helicopter School #trainer",""
"7cfa0c","a-f-A-M-H-T","N52-004","EC135T2+","AUS Joint Helicopter School #trainer",""
"7cfa0d","a-f-A-M-H-T","N52-005","EC135T2+","AUS Joint Helicopter School #trainer",""
"7cfa0e","a-f-A-M-H-T","N52-006","EC135T2+","AUS Joint Helicopter School #trainer",""
"7cfa0f","a-f-A-M-H-U-L","N52-007","EC135 T2+","AUS Joint Helicopter School #trainer",""
"7cfa10","a-f-A-M-H-T","N52-008","EC135T2+","AUS Joint Helicopter School #trainer",""
"7cfa11","a-f-A-M-H-T","N52-009","EC135T2+","AUS Joint Helicopter School #trainer",""
"7cfa12","a-f-A-M-H-T","N52-010","EC135T2+","AUS Joint Helicopter School #trainer",""
"7cfa13","a-f-A-M-H-T","N52-011","EC135T2+","AUS Joint Helicopter School #trainer",""
"7cfa14","a-f-A-M-H-T","N52-012","EC135T2+","AUS Joint Helicopter School #trainer",""
"7cfa15","a-f-A-M-H-T","N52-013","EC135T2+","AUS Joint Helicopter School #trainer",""
"7cfa17","a-f-A-M-H-U-L","N52-015","EC135T2+","AUS N",""
"7cfa2f","a-f-A-M-H-C-H","A15-309","CH-47F","AUS A",""
"7cfa31","a-f-A-M-F-U-L","A32-988","King Air B350","AUS AF",""
"7cfa33","a-f-A-M-F-U-L","A32-008","King Air B350","AUS AF",""
"7cfa34","a-f-A-M-F-U-L","A32-021","King Air B350","AUS AF",""
"7cfa71","a-f-A-M-F-U-M","A56-001","Falcon 7X","AUS AF",""
"7cfa72","a-f-A-M-F-U-M","A56-002","Falcon 7X","AUS AF",""
"7cfa73","a-f-A-M-F-U-M","A56-003","Falcon 7X","AUS AF",""
