#TAK ADSB IDs GERMANY Civilian EMS, Fire, special,
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","SIDC","registration","type","operator"

#ADAC
"3ddc5a","a-n-A-C-H","D-HDRU","EC135P2+","EMS (DRF)"
"3ddc6b","a-n-A-C-H","D-HDSL","BK117D2","EMS (DRF)"
"3e1488","a-n-A-C-H","D-HYYY","EC135P2+","EMS (DRF)"
"3ddc5d","a-n-A-C-H","D-HDRX","EC135P2+","EMS (DRF)"
"3ddc50","a-n-A-C-H","D-HDRK","EC135P2","EMS (DRF)"
"3ddc58","a-n-A-C-H","D-HDRS","EC135P2+","EMS (DRF)"
"3df653","a-n-A-C-H","D-HNNN","BK117B2","EMS (DRF)"
"3de8e3","a-n-A-C-H","D-HILF","BK117B2","EMS (DRF)"
"3ddc4d","a-n-A-C-H","D-HDRH","BK117B1","EMS (DRF)"
"3deb57","a-n-A-C-H","D-HJJJ","BK117B2","EMS (DRF)"
"3ddc51","a-n-A-C-H","D-HDRL","EC135P2","EMS (DRF)"
"3ddbcf","a-n-A-C-H","D-HDML","BO105S","EMS (DRF)"
"3ddc6a","a-n-A-C-H","D-HDSK","BK117D2","EMS (DRF)"
"3ddd68","a-n-A-C-H","D-HECE","BK117B2","EMS (DRF)"
"3e0f0a","a-n-A-C-H","D-HWWW","BK117B2","EMS (DRF)"
"3df2b5","a-n-A-C-H","D-HMDX","MD900","EMS (DRF)"
"3ddc47","a-n-A-C-H","D-HDRB","EC135P2","EMS (DRF)"
"3ddc66","a-n-A-C-H","D-HDSG","BK117D2","EMS (DRF)"
"3ddc71","a-n-A-C-H","D-HDSR","BK117C1","EMS (DRF)"
"3ddc59","a-n-A-C-H","D-HDRT","EC135P2+","EMS (DRF)"
