#TAK ADSB IDs INDIA Military
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator","icontype"

"800794","a-f-A-M-F-C-H","CB-8007","C-17A","IND AF",""
"800795","a-f-A-M-F-C-H","CB-8008","C-17A","IND AF",""
"800796","a-f-A-M-F-C-H","CB-8009","C-17A","IND AF",""
"800797","a-f-A-M-F-C-H","CB-8010","C-17A","IND AF",""
"80079c","a-f-A-M-F-C-M","K2760","An-32RE","IND AF",""
"80079d","a-f-A-M-F-C-M","KA2684","An-32","IND AF",""
"8007a1","a-f-A-M-F-C-M","K2764","An-32","IND AF",""
"800c3d","a-f-A-M-F-U-H","K7067","B777 300ER","IND AF",""
"800dbc","a-f-A-M-F-C-M","K2736","An-32RE","IND AF",""
"800dbe","a-f-A-M-F-C-M","KA2675","An-32RE","IND AF",""
"800dc0","a-f-A-M-F-C-M","K2695","An-32RE","IND AF",""
"800dc2","a-f-A-M-F-C-M","KA2750","An-32RE","IND AF",""
"800dc4","a-f-A-M-F-C-M","KA2742","An-32RE","IND AF",""
"800e0c","a-f-A-M-F-C-M","KA2679","An-32RE","Indian AF",""
"800e12","a-f-A-M-F-U-M","KD710","Do 228","IND AF",""
"800e13","a-f-A-M-F-U-M","KD711","Do 228","IND AF",""
"800e14","a-f-A-M-F-U-M","KD712","Do 228","IND AF",""
"800e15","a-f-A-M-F-U-M","KD713","Do 228","IND AF",""
"800e17","a-f-A-M-F-U-M","KD715","Do 228","IND AF",""
"800e19","a-f-A-M-F-U-M","KD717","Do 228","IND AF",""
"800e1e","a-f-A-M-F-C-M","KC-3807","C-130J-30","IND AF",""
"800e1f","a-f-A-M-F-C-M","KC-3808","C-130J-30","IND AF",""
"800e20","a-f-A-M-F-C-M","KC-3809","C-130J-30","IND AF",""
"800e22","a-f-A-M-F-C-M","KC-3811","C-130J-30","IND AF",""
"800e23","a-f-A-M-F-C-M","KC-3812","C-130J-30","IND AF",""
"800e42","a-f-A-M-F-C-M","KC-3813","C-130J-30","IND AF",""
"800e89","a-f-A-M-F-P","IN328","P-8I","IND N",""
"800e8a","a-f-A-M-F-P","IN329","P-8","IND N",""
"800e8b","a-f-A-M-F-P","IN330","P-8I","IND N",""
"800e8c","a-f-A-M-F-P","IN331","P-8I","IND N",""
