#TAK ADSB IDs DEUY Military
#Copyright 2021 Stefan Gofferje
#License: CC-BY-SA 4.0
#Format:
#"hexid","CoT type","registration","type","operator"

"3e9ae5","a-f-A-M-F-F","31+13","EF-2000","DEU AF"
"3e9b1f","a-f-A-M-F-F","31+30","EF-2000","DEU AF"
"3E9BA8","a-f-A-M-F-F","31+37","EF-2000","DEU AF"
"3E9BF7","a-f-A-M-F-C-H","54+02","A400M","DEU AF"
"3e9bf7","a-f-A-M-F-C-H","54+02","A400M","DEU AF"
"3e9c31","a-f-A-M-F-F","30+22","EF-2000","DEU AF"
"3E9CD6","a-f-A-M-H-C-M","78+33","NH-90","DEU A"
"3e9cf5","a-f-A-M-F-C-H","50+61","C-160D","DEU AF"
"3E9D43","a-f-A-M-F-F","31+02","EF-2000","DEU AF"
"3e9d43","a-f-A-M-F-F","31+02","EF-2000","DEU AF"
"3E9D48","a-f-A-M-F-F","30+32","EF-2000","DEU AF"
"3E9EAA","a-f-A-M-F-F","31+04","EF-2000","DEU AF"
"3e9ee4","a-f-A-M-F-F","30+93","EF-2000","DEU AF"
"3E9EED","a-f-A-M-F-F","30+68","EF-2000","DEU AF"
"3e9f6a","a-f-A-M-F-F","45+57","Tornado IDS","DEU AF"
"3E9FD2","a-f-A-M-F-C-H","54+29","A400M","DEU AF"
"3EA048","a-f-A-M-F-C-H","54+26","A400M","DEU AF"
"3EA1AD","a-f-A-M-F-F","30+17","EF-2000","DEU AF"
"3EA1CC","a-f-A-M-F-C-H","54+04","A400M","DEU AF"
"3ea1cc","a-f-A-M-F-C-H","54+04","A400M","DEU AF"
"3ea218","a-f-A-M-F-C-H","50+97","C-160D","DEU AF"
"3ea2d7","a-f-A-M-F-F","44+33","Tornado IDS","DEU AF"
"3EA34A","a-f-A-M-H-U-L","76+02","EC145","DEU A"
"3EA3CE","a-f-A-M-F-F","44+23","Tornado","DEU AF"
"3ea437","a-f-A-M-F-F","46+32","Tornado ECR","DEU AF"
"3EA460","a-f-A-M-F-F","44+65","Tornado","DEU AF"
"3EA541","a-f-A-M-F-C-H","54+19","A400M","DEU AF"
"3EA556","a-f-A-M-F-C-H","54+10","A400M","DEU AF"
"3ea556","a-f-A-M-F-C-H","54+10","Airbus A400M","DEU AF"
"3ea579","a-f-A-M-F-F","44+69","Tornado IDS","DEU AF"
"3ea63a","a-f-A-M-F-F","30+17","EF-2000","DEU AF"
"3EA653","a-f-A-M-F-C-H","54+05","A400M","DEU AF"
"3ea653","a-f-A-M-F-C-H","54+05","A400M","DEU AF"
"3EA74D","a-f-A-M-H-C-M","78+15","NH-90","DEU A"
"3EA764","a-f-A-M-H-C-M","78+30","NH-90","DEU A"
"3ea7b6","a-f-A-M-F-F","45+88","Tornado IDS","DEU AF"
"3ea836","a-f-A-M-F-F","30+75","EF-2000","DEU AF"
"3ea914","a-f-A-M-F-F","30+95","EF-2000","DEU AF"
"3eaa0a","a-f-A-M-F-F","30+53","EF-2000","DEU AF"
"3eaa1e","a-f-A-M-F-F","31+29","EF-2000","DEU AF"
"3eaac4","a-f-A-M-F-F","30+51","EF-2000","DEU AF"
"3eab37","a-f-A-M-F-F","46+49","Tornado ECR","DEU AF"
"3eab46","a-f-A-M-F-F","46+44","Tornado ECR","DEU AF"
"3eab6c","a-f-A-M-F-F","30+77","EF-2000","DEU AF"
"3eabcd","a-f-A-M-F-F","31+01","EF-2000","DEU AF"
"3eac57","a-f-A-M-F-F","46+54","Tornado ECR","DEU AF"
"3eac69","a-f-A-M-H-U-L","76+06","EC145","DEU AF"
"3eac7a","a-f-A-M-F-C-H","50+64","C-160D","DEU AF"
"3ead21","a-f-A-M-F-F","43+92","Tornado IDS","DEU AF"
"3EAD76","a-f-A-M-H-C-H","84+53","CH-53G","DEU A"
